Season,market,Team_Name,wins,losses,ties
2016,Abilene Christian University,Wildcats,13,16,0
2015,Abilene Christian University,Wildcats,13,18,0
2014,Abilene Christian University,Wildcats,10,21,0
2013,Abilene Christian University,Wildcats,11,20,0
2012,Abilene Christian University,Wildcats,12,14,0
2011,Abilene Christian University,Wildcats,12,16,0
2010,Abilene Christian University,Wildcats,9,17,0
2009,Abilene Christian University,Wildcats,8,19,0
2008,Abilene Christian University,Wildcats,10,16,0
2007,Abilene Christian University,Wildcats,20,9,0
2006,Abilene Christian University,Wildcats,10,16,0
2005,Abilene Christian University,Wildcats,8,19,0
2004,Abilene Christian University,Wildcats,8,19,0
2003,Abilene Christian University,Wildcats,12,15,0
2002,Abilene Christian University,Wildcats,13,14,0
2001,Abilene Christian University,Wildcats,6,20,0
2000,Abilene Christian University,Wildcats,6,20,0
1999,Abilene Christian University,Wildcats,12,14,0
1998,Abilene Christian University,Wildcats,21,8,0
1997,Abilene Christian University,Wildcats,22,6,0
1996,Abilene Christian University,Wildcats,15,12,0
1995,Abilene Christian University,Wildcats,13,14,0
1994,Abilene Christian University,Wildcats,7,19,0
1993,Abilene Christian University,Wildcats,14,15,0
1992,Abilene Christian University,Wildcats,10,18,0
1991,Abilene Christian University,Wildcats,17,12,0
1990,Abilene Christian University,Wildcats,0,26,0
1989,Abilene Christian University,Wildcats,3,24,0
1988,Abilene Christian University,Wildcats,6,21,0
1987,Abilene Christian University,Wildcats,17,10,0
1986,Abilene Christian University,Wildcats,18,8,0
1985,Abilene Christian University,Wildcats,23,7,0
1984,Abilene Christian University,Wildcats,18,10,0
1983,Abilene Christian University,Wildcats,14,15,0
1982,Abilene Christian University,Wildcats,14,14,0
1981,Abilene Christian University,Wildcats,9,17,0
1972,Abilene Christian University,Wildcats,6,20,0
1971,Abilene Christian University,Wildcats,17,8,0
1970,Abilene Christian University,Wildcats,15,9,0
2016,Alabama A&M University,Bulldogs,2,27,0
2015,Alabama A&M University,Bulldogs,11,18,0
2014,Alabama A&M University,Bulldogs,9,20,0
2013,Alabama A&M University,Bulldogs,14,16,0
2012,Alabama A&M University,Bulldogs,11,20,0
2011,Alabama A&M University,Bulldogs,7,21,0
2010,Alabama A&M University,Bulldogs,13,15,0
2009,Alabama A&M University,Bulldogs,11,16,0
2008,Alabama A&M University,Bulldogs,8,19,0
2007,Alabama A&M University,Bulldogs,14,15,0
2006,Alabama A&M University,Bulldogs,10,20,0
2005,Alabama A&M University,Bulldogs,13,13,0
2004,Alabama A&M University,Bulldogs,18,14,0
2003,Alabama A&M University,Bulldogs,13,17,0
2002,Alabama A&M University,Bulldogs,8,19,0
2001,Alabama A&M University,Bulldogs,19,10,0
2000,Alabama A&M University,Bulldogs,17,11,0
1999,Alabama A&M University,Bulldogs,18,10,0
1998,Alabama A&M University,Bulldogs,10,17,0
1997,Alabama A&M University,Bulldogs,18,9,0
1996,Alabama A&M University,Bulldogs,24,6,0
1995,Alabama A&M University,Bulldogs,28,3,0
1994,Alabama A&M University,Bulldogs,29,3,0
1993,Alabama A&M University,Bulldogs,27,5,0
1992,Alabama A&M University,Bulldogs,28,3,0
1991,Alabama A&M University,Bulldogs,15,15,0
1990,Alabama A&M University,Bulldogs,16,14,0
1989,Alabama A&M University,Bulldogs,18,9,0
1988,Alabama A&M University,Bulldogs,26,6,0
1987,Alabama A&M University,Bulldogs,29,3,0
1986,Alabama A&M University,Bulldogs,23,7,0
1985,Alabama A&M University,Bulldogs,23,9,0
1984,Alabama A&M University,Bulldogs,21,10,0
1983,Alabama A&M University,Bulldogs,21,8,0
1982,Alabama A&M University,Bulldogs,18,9,0
1981,Alabama A&M University,Bulldogs,10,15,0
1980,Alabama A&M University,Bulldogs,16,11,0
1979,Alabama A&M University,Bulldogs,9,18,0
1978,Alabama A&M University,Bulldogs,10,17,0
1977,Alabama A&M University,Bulldogs,9,13,0
1976,Alabama A&M University,Bulldogs,17,8,0
1975,Alabama A&M University,Bulldogs,18,10,0
1974,Alabama A&M University,Bulldogs,18,11,0
1973,Alabama A&M University,Bulldogs,7,16,0
2016,Alabama State University,Hornets,8,23,0
2015,Alabama State University,Hornets,14,17,0
2014,Alabama State University,Hornets,19,10,0
2013,Alabama State University,Hornets,19,13,0
2012,Alabama State University,Hornets,10,22,0
2011,Alabama State University,Hornets,12,19,0
2010,Alabama State University,Hornets,17,18,0
2009,Alabama State University,Hornets,16,15,0
2008,Alabama State University,Hornets,22,10,0
2007,Alabama State University,Hornets,20,11,0
2006,Alabama State University,Hornets,10,20,0
2005,Alabama State University,Hornets,12,18,0
2004,Alabama State University,Hornets,15,15,0
2003,Alabama State University,Hornets,16,15,0
2002,Alabama State University,Hornets,14,15,0
2001,Alabama State University,Hornets,19,13,0
2000,Alabama State University,Hornets,22,9,0
1999,Alabama State University,Hornets,13,15,0
1998,Alabama State University,Hornets,11,16,0
1997,Alabama State University,Hornets,11,17,0
1996,Alabama State University,Hornets,8,21,0
1995,Alabama State University,Hornets,9,18,0
1994,Alabama State University,Hornets,11,15,0
1993,Alabama State University,Hornets,19,10,0
1992,Alabama State University,Hornets,14,13,0
1991,Alabama State University,Hornets,14,14,0
1990,Alabama State University,Hornets,18,11,0
1989,Alabama State University,Hornets,15,13,0
1988,Alabama State University,Hornets,13,16,0
1987,Alabama State University,Hornets,8,20,0
1986,Alabama State University,Hornets,14,14,0
1985,Alabama State University,Hornets,11,17,0
1984,Alabama State University,Hornets,14,17,0
1983,Alabama State University,Hornets,22,6,0
1982,Alabama State University,Hornets,22,6,0
1981,Alabama State University,Hornets,22,6,0
1980,Alabama State University,Hornets,19,9,0
1979,Alabama State University,Hornets,32,2,0
1978,Alabama State University,Hornets,23,2,0
1977,Alabama State University,Hornets,0,0,0
1976,Alabama State University,Hornets,17,11,0
1975,Alabama State University,Hornets,19,8,0
1974,Alabama State University,Hornets,16,13,0
1973,Alabama State University,Hornets,19,9,0
1972,Alabama State University,Hornets,19,9,0
1971,Alabama State University,Hornets,22,3,0
1970,Alabama State University,Hornets,24,5,0
1969,Alabama State University,Hornets,17,10,0
1968,Alabama State University,Hornets,19,9,0
1967,Alabama State University,Hornets,18,7,0
1966,Alabama State University,Hornets,19,5,0
1965,Alabama State University,Hornets,18,6,0
1964,Alabama State University,Hornets,19,7,0
1963,Alabama State University,Hornets,16,10,0
2016,Alcorn State University,Braves,18,14,0
2015,Alcorn State University,Braves,15,15,0
2014,Alcorn State University,Braves,6,26,0
2013,Alcorn State University,Braves,12,19,0
2012,Alcorn State University,Braves,10,24,0
2011,Alcorn State University,Braves,10,22,0
2010,Alcorn State University,Braves,4,24,0
2009,Alcorn State University,Braves,2,29,0
2008,Alcorn State University,Braves,6,25,0
2007,Alcorn State University,Braves,7,24,0
2006,Alcorn State University,Braves,11,19,0
2005,Alcorn State University,Braves,8,20,0
2004,Alcorn State University,Braves,7,22,0
2003,Alcorn State University,Braves,11,18,0
2002,Alcorn State University,Braves,14,19,0
2001,Alcorn State University,Braves,21,10,0
2000,Alcorn State University,Braves,15,15,0
1999,Alcorn State University,Braves,19,10,0
1998,Alcorn State University,Braves,23,7,0
1997,Alcorn State University,Braves,12,15,0
1996,Alcorn State University,Braves,11,17,0
1995,Alcorn State University,Braves,10,15,0
1994,Alcorn State University,Braves,7,19,0
1993,Alcorn State University,Braves,3,24,0
1992,Alcorn State University,Braves,7,20,0
1991,Alcorn State University,Braves,15,14,0
1990,Alcorn State University,Braves,8,21,0
1989,Alcorn State University,Braves,7,22,0
1988,Alcorn State University,Braves,5,23,0
1987,Alcorn State University,Braves,8,21,0
1986,Alcorn State University,Braves,5,23,0
1985,Alcorn State University,Braves,16,13,0
1984,Alcorn State University,Braves,23,7,0
1983,Alcorn State University,Braves,21,10,0
1982,Alcorn State University,Braves,22,10,0
1981,Alcorn State University,Braves,22,8,0
1980,Alcorn State University,Braves,17,12,0
1979,Alcorn State University,Braves,28,2,0
1978,Alcorn State University,Braves,28,1,0
1977,Alcorn State University,Braves,22,7,0
1976,Alcorn State University,Braves,26,9,0
1975,Alcorn State University,Braves,27,4,0
1974,Alcorn State University,Braves,25,10,0
1973,Alcorn State University,Braves,29,6,0
1972,Alcorn State University,Braves,24,5,0
1971,Alcorn State University,Braves,14,10,0
1970,Alcorn State University,Braves,16,9,0
1969,Alcorn State University,Braves,16,9,0
1968,Alcorn State University,Braves,26,1,0
1967,Alcorn State University,Braves,24,3,0
1966,Alcorn State University,Braves,20,8,0
1965,Alcorn State University,Braves,21,8,0
1964,Alcorn State University,Braves,13,13,0
1963,Alcorn State University,Braves,13,12,0
1962,Alcorn State University,Braves,14,12,0
1961,Alcorn State University,Braves,25,10,0
1960,Alcorn State University,Braves,19,8,0
1959,Alcorn State University,Braves,18,13,0
1958,Alcorn State University,Braves,18,13,0
1957,Alcorn State University,Braves,19,15,0
1956,Alcorn State University,Braves,12,12,0
1955,Alcorn State University,Braves,8,16,0
1954,Alcorn State University,Braves,25,17,0
1953,Alcorn State University,Braves,21,22,0
1952,Alcorn State University,Braves,34,21,0
1951,Alcorn State University,Braves,32,9,0
1950,Alcorn State University,Braves,28,3,0
1949,Alcorn State University,Braves,22,5,0
1948,Alcorn State University,Braves,20,7,0
1947,Alcorn State University,Braves,16,7,0
1946,Alcorn State University,Braves,12,2,0
1944,Alcorn State University,Braves,2,4,0
2016,American University,Eagles,8,22,0
2015,American University,Eagles,12,19,0
2014,American University,Eagles,17,16,0
2013,American University,Eagles,20,13,0
2012,American University,Eagles,10,20,0
2011,American University,Eagles,20,12,0
2010,American University,Eagles,22,9,0
2009,American University,Eagles,11,20,0
2008,American University,Eagles,24,8,0
2007,American University,Eagles,21,12,0
2006,American University,Eagles,16,14,0
2005,American University,Eagles,12,17,0
2004,American University,Eagles,16,12,0
2003,American University,Eagles,18,13,0
2002,American University,Eagles,16,14,0
2001,American University,Eagles,18,12,0
2000,American University,Eagles,7,20,0
1999,American University,Eagles,11,18,0
1998,American University,Eagles,7,21,0
1997,American University,Eagles,9,19,0
1996,American University,Eagles,11,16,0
1995,American University,Eagles,12,15,0
1994,American University,Eagles,9,19,0
1993,American University,Eagles,8,19,0
1992,American University,Eagles,11,17,0
1991,American University,Eagles,11,18,0
1990,American University,Eagles,15,14,0
1989,American University,Eagles,20,9,0
1988,American University,Eagles,17,11,0
1987,American University,Eagles,14,14,0
1986,American University,Eagles,13,14,0
1985,American University,Eagles,10,18,0
1984,American University,Eagles,9,19,0
1983,American University,Eagles,6,22,0
1982,American University,Eagles,20,10,0
1981,American University,Eagles,21,9,0
1980,American University,Eagles,24,6,0
1979,American University,Eagles,13,14,0
1978,American University,Eagles,14,13,0
1977,American University,Eagles,16,12,0
1976,American University,Eagles,13,13,0
1975,American University,Eagles,9,16,0
1974,American University,Eagles,16,10,0
1973,American University,Eagles,16,10,0
1972,American University,Eagles,21,5,0
1971,American University,Eagles,16,8,0
1970,American University,Eagles,13,12,0
1969,American University,Eagles,11,12,0
1968,American University,Eagles,4,19,0
1967,American University,Eagles,14,12,0
1966,American University,Eagles,16,8,0
2016,Appalachian State University,Mountaineers,9,21,0
2015,Appalachian State University,Mountaineers,9,22,0
2014,Appalachian State University,Mountaineers,12,17,0
2013,Appalachian State University,Mountaineers,9,21,0
2012,Appalachian State University,Mountaineers,15,16,0
2011,Appalachian State University,Mountaineers,13,18,0
2010,Appalachian State University,Mountaineers,16,15,0
2009,Appalachian State University,Mountaineers,24,13,0
2008,Appalachian State University,Mountaineers,13,18,0
2007,Appalachian State University,Mountaineers,18,13,0
2006,Appalachian State University,Mountaineers,25,8,0
2005,Appalachian State University,Mountaineers,14,16,0
2004,Appalachian State University,Mountaineers,18,12,0
2003,Appalachian State University,Mountaineers,9,21,0
2002,Appalachian State University,Mountaineers,19,10,0
2001,Appalachian State University,Mountaineers,10,18,0
2000,Appalachian State University,Mountaineers,11,20,0
1999,Appalachian State University,Mountaineers,23,9,0
1998,Appalachian State University,Mountaineers,21,8,0
1997,Appalachian State University,Mountaineers,21,8,0
1996,Appalachian State University,Mountaineers,14,14,0
1995,Appalachian State University,Mountaineers,8,20,0
1994,Appalachian State University,Mountaineers,9,20,0
1993,Appalachian State University,Mountaineers,16,11,0
1992,Appalachian State University,Mountaineers,13,15,0
1991,Appalachian State University,Mountaineers,15,14,0
1990,Appalachian State University,Mountaineers,16,14,0
1989,Appalachian State University,Mountaineers,19,11,0
1988,Appalachian State University,Mountaineers,20,8,0
1987,Appalachian State University,Mountaineers,16,13,0
1986,Appalachian State University,Mountaineers,7,21,0
1985,Appalachian State University,Mountaineers,17,12,0
1984,Appalachian State University,Mountaineers,14,14,0
1983,Appalachian State University,Mountaineers,13,16,0
1982,Appalachian State University,Mountaineers,6,21,0
1981,Appalachian State University,Mountaineers,11,15,0
1980,Appalachian State University,Mountaineers,20,9,0
1979,Appalachian State University,Mountaineers,12,16,0
1978,Appalachian State University,Mountaineers,23,6,0
1977,Appalachian State University,Mountaineers,15,13,0
1976,Appalachian State University,Mountaineers,17,12,0
1975,Appalachian State University,Mountaineers,13,14,0
1974,Appalachian State University,Mountaineers,3,23,0
1973,Appalachian State University,Mountaineers,5,20,0
2016,Arizona State University,Sun Devils,15,18,0
2015,Arizona State University,Sun Devils,15,17,0
2014,Arizona State University,Sun Devils,18,16,0
2013,Arizona State University,Sun Devils,21,12,0
2012,Arizona State University,Sun Devils,22,13,0
2011,Arizona State University,Sun Devils,10,21,0
2010,Arizona State University,Sun Devils,12,19,0
2009,Arizona State University,Sun Devils,22,11,0
2008,Arizona State University,Sun Devils,25,10,0
2007,Arizona State University,Sun Devils,21,13,0
2006,Arizona State University,Sun Devils,8,22,0
2005,Arizona State University,Sun Devils,11,17,0
2004,Arizona State University,Sun Devils,18,14,0
2003,Arizona State University,Sun Devils,10,17,0
2002,Arizona State University,Sun Devils,20,12,0
2001,Arizona State University,Sun Devils,14,15,0
2000,Arizona State University,Sun Devils,13,16,0
1999,Arizona State University,Sun Devils,19,13,0
1998,Arizona State University,Sun Devils,14,16,0
1997,Arizona State University,Sun Devils,18,14,0
1996,Arizona State University,Sun Devils,10,20,0
1995,Arizona State University,Sun Devils,12,15,0
1994,Arizona State University,Sun Devils,24,9,0
1993,Arizona State University,Sun Devils,15,13,0
1992,Arizona State University,Sun Devils,18,10,0
1991,Arizona State University,Sun Devils,19,14,0
1990,Arizona State University,Sun Devils,20,10,0
1989,Arizona State University,Sun Devils,15,16,0
1988,Arizona State University,Sun Devils,12,16,0
1987,Arizona State University,Sun Devils,13,16,0
1986,Arizona State University,Sun Devils,11,17,0
1985,Arizona State University,Sun Devils,14,14,0
1984,Arizona State University,Sun Devils,12,16,0
1983,Arizona State University,Sun Devils,13,15,0
1982,Arizona State University,Sun Devils,19,14,0
1981,Arizona State University,Sun Devils,13,14,0
1980,Arizona State University,Sun Devils,24,4,0
1979,Arizona State University,Sun Devils,22,7,0
1978,Arizona State University,Sun Devils,16,14,0
1977,Arizona State University,Sun Devils,13,14,0
1976,Arizona State University,Sun Devils,15,13,0
1975,Arizona State University,Sun Devils,17,10,0
1974,Arizona State University,Sun Devils,25,4,0
1973,Arizona State University,Sun Devils,18,9,0
1972,Arizona State University,Sun Devils,19,9,0
1971,Arizona State University,Sun Devils,18,8,0
1970,Arizona State University,Sun Devils,16,10,0
1969,Arizona State University,Sun Devils,4,22,0
1968,Arizona State University,Sun Devils,11,15,0
1967,Arizona State University,Sun Devils,11,17,0
1966,Arizona State University,Sun Devils,5,21,0
1965,Arizona State University,Sun Devils,12,14,0
1964,Arizona State University,Sun Devils,13,14,0
1963,Arizona State University,Sun Devils,16,11,0
1962,Arizona State University,Sun Devils,26,3,0
1961,Arizona State University,Sun Devils,23,4,0
1960,Arizona State University,Sun Devils,23,6,0
1959,Arizona State University,Sun Devils,16,7,0
1958,Arizona State University,Sun Devils,17,9,0
1957,Arizona State University,Sun Devils,13,13,0
1956,Arizona State University,Sun Devils,10,15,0
1955,Arizona State University,Sun Devils,11,15,0
1954,Arizona State University,Sun Devils,9,13,0
1953,Arizona State University,Sun Devils,5,18,0
1952,Arizona State University,Sun Devils,12,7,0
1951,Arizona State University,Sun Devils,8,16,0
1950,Arizona State University,Sun Devils,9,16,0
1949,Arizona State University,Sun Devils,12,14,0
1948,Arizona State University,Sun Devils,12,17,0
1947,Arizona State University,Sun Devils,13,11,0
1946,Arizona State University,Sun Devils,7,13,0
1945,Arizona State University,Sun Devils,12,16,0
1944,Arizona State University,Sun Devils,5,9,0
1943,Arizona State University,Sun Devils,12,2,0
1942,Arizona State University,Sun Devils,10,9,0
1941,Arizona State University,Sun Devils,10,10,0
1940,Arizona State University,Sun Devils,8,11,0
1939,Arizona State University,Sun Devils,8,13,0
1938,Arizona State University,Sun Devils,13,13,0
1937,Arizona State University,Sun Devils,11,12,0
1936,Arizona State University,Sun Devils,8,12,0
1935,Arizona State University,Sun Devils,12,14,0
1934,Arizona State University,Sun Devils,8,11,0
1933,Arizona State University,Sun Devils,9,11,0
1932,Arizona State University,Sun Devils,13,12,0
1931,Arizona State University,Sun Devils,7,12,0
1930,Arizona State University,Sun Devils,12,6,0
1929,Arizona State University,Sun Devils,6,11,0
1928,Arizona State University,Sun Devils,5,12,0
1927,Arizona State University,Sun Devils,10,5,0
1926,Arizona State University,Sun Devils,4,8,0
1925,Arizona State University,Sun Devils,9,3,0
1924,Arizona State University,Sun Devils,11,6,0
1923,Arizona State University,Sun Devils,3,9,0
1922,Arizona State University,Sun Devils,8,4,0
1921,Arizona State University,Sun Devils,10,1,0
1920,Arizona State University,Sun Devils,11,3,0
1919,Arizona State University,Sun Devils,5,3,0
1918,Arizona State University,Sun Devils,3,4,0
1917,Arizona State University,Sun Devils,14,4,0
1916,Arizona State University,Sun Devils,0,1,0
1914,Arizona State University,Sun Devils,2,2,0
1913,Arizona State University,Sun Devils,6,5,0
1912,Arizona State University,Sun Devils,3,3,0
1911,Arizona State University,Sun Devils,8,2,0
2016,Arkansas State University,Red Wolves,20,12,0
2015,Arkansas State University,Red Wolves,10,20,0
2014,Arkansas State University,Red Wolves,11,18,0
2013,Arkansas State University,Red Wolves,19,13,0
2012,Arkansas State University,Red Wolves,19,12,0
2011,Arkansas State University,Red Wolves,14,20,0
2010,Arkansas State University,Red Wolves,17,15,0
2009,Arkansas State University,Red Wolves,17,14,0
2008,Arkansas State University,Red Wolves,13,17,0
2007,Arkansas State University,Red Wolves,10,20,0
2006,Arkansas State University,Red Wolves,0,15,0
2005,Arkansas State University,Red Wolves,0,18,0
2004,Arkansas State University,Red Wolves,16,13,0
2003,Arkansas State University,Red Wolves,17,11,0
2002,Arkansas State University,Red Wolves,13,15,0
2001,Arkansas State University,Red Wolves,15,16,0
2000,Arkansas State University,Red Wolves,17,13,0
1999,Arkansas State University,Red Wolves,10,18,0
1998,Arkansas State University,Red Wolves,18,12,0
1997,Arkansas State University,Red Wolves,20,9,0
1996,Arkansas State University,Red Wolves,15,12,0
1995,Arkansas State University,Red Wolves,9,18,0
1994,Arkansas State University,Red Wolves,8,20,0
1993,Arkansas State University,Red Wolves,15,12,0
1992,Arkansas State University,Red Wolves,16,12,0
1991,Arkansas State University,Red Wolves,17,11,0
1990,Arkansas State University,Red Wolves,23,9,0
1989,Arkansas State University,Red Wolves,15,13,0
1988,Arkansas State University,Red Wolves,20,10,0
1987,Arkansas State University,Red Wolves,21,14,0
1986,Arkansas State University,Red Wolves,21,13,0
1985,Arkansas State University,Red Wolves,18,11,0
1984,Arkansas State University,Red Wolves,14,14,0
1983,Arkansas State University,Red Wolves,13,15,0
1982,Arkansas State University,Red Wolves,17,12,0
1981,Arkansas State University,Red Wolves,15,11,0
1980,Arkansas State University,Red Wolves,12,15,0
1979,Arkansas State University,Red Wolves,15,12,0
1978,Arkansas State University,Red Wolves,15,12,0
1977,Arkansas State University,Red Wolves,9,18,0
1976,Arkansas State University,Red Wolves,14,13,0
1975,Arkansas State University,Red Wolves,10,15,0
1974,Arkansas State University,Red Wolves,13,12,0
1973,Arkansas State University,Red Wolves,17,8,0
1972,Arkansas State University,Red Wolves,7,17,0
1971,Arkansas State University,Red Wolves,12,14,0
1970,Arkansas State University,Red Wolves,15,9,0
2016,Auburn University,Tigers,18,14,0
2015,Auburn University,Tigers,11,20,0
2014,Auburn University,Tigers,15,20,0
2013,Auburn University,Tigers,14,16,0
2012,Auburn University,Tigers,9,23,0
2011,Auburn University,Tigers,15,16,0
2010,Auburn University,Tigers,11,20,0
2009,Auburn University,Tigers,15,17,0
2008,Auburn University,Tigers,24,12,0
2007,Auburn University,Tigers,14,16,0
2006,Auburn University,Tigers,17,15,0
2005,Auburn University,Tigers,12,16,0
2004,Auburn University,Tigers,14,17,0
2003,Auburn University,Tigers,14,14,0
2002,Auburn University,Tigers,22,12,0
2001,Auburn University,Tigers,12,16,0
2000,Auburn University,Tigers,18,14,0
1999,Auburn University,Tigers,24,10,0
1998,Auburn University,Tigers,29,4,0
1997,Auburn University,Tigers,16,14,0
1996,Auburn University,Tigers,16,15,0
1995,Auburn University,Tigers,19,13,0
1994,Auburn University,Tigers,16,13,0
1993,Auburn University,Tigers,11,17,0
1992,Auburn University,Tigers,15,12,0
1991,Auburn University,Tigers,12,15,0
1990,Auburn University,Tigers,13,16,0
1989,Auburn University,Tigers,13,18,0
1988,Auburn University,Tigers,9,19,0
1987,Auburn University,Tigers,19,11,0
1986,Auburn University,Tigers,18,13,0
1985,Auburn University,Tigers,22,11,0
1984,Auburn University,Tigers,22,12,0
1983,Auburn University,Tigers,20,11,0
1982,Auburn University,Tigers,15,13,0
1981,Auburn University,Tigers,14,14,0
1980,Auburn University,Tigers,11,16,0
1979,Auburn University,Tigers,10,18,0
1978,Auburn University,Tigers,13,16,0
1977,Auburn University,Tigers,13,14,0
1976,Auburn University,Tigers,13,13,0
1975,Auburn University,Tigers,16,10,0
1974,Auburn University,Tigers,18,8,0
1973,Auburn University,Tigers,10,16,0
1972,Auburn University,Tigers,6,20,0
1971,Auburn University,Tigers,10,16,0
1970,Auburn University,Tigers,11,15,0
1969,Auburn University,Tigers,15,11,0
1968,Auburn University,Tigers,15,10,0
1967,Auburn University,Tigers,13,13,0
1966,Auburn University,Tigers,17,8,0
1965,Auburn University,Tigers,16,10,0
1964,Auburn University,Tigers,16,9,0
1963,Auburn University,Tigers,11,12,0
1962,Auburn University,Tigers,18,4,0
1961,Auburn University,Tigers,18,6,0
1960,Auburn University,Tigers,15,7,0
1959,Auburn University,Tigers,19,3,0
1958,Auburn University,Tigers,20,2,0
1957,Auburn University,Tigers,16,6,0
1956,Auburn University,Tigers,13,8,0
1955,Auburn University,Tigers,11,10,0
1954,Auburn University,Tigers,11,9,0
1953,Auburn University,Tigers,16,8,0
1952,Auburn University,Tigers,13,8,0
1951,Auburn University,Tigers,14,12,0
1950,Auburn University,Tigers,12,10,0
1949,Auburn University,Tigers,17,7,0
1948,Auburn University,Tigers,9,15,0
1947,Auburn University,Tigers,12,10,0
1946,Auburn University,Tigers,3,18,0
1945,Auburn University,Tigers,7,9,0
1944,Auburn University,Tigers,3,14,0
1942,Auburn University,Tigers,1,14,0
1941,Auburn University,Tigers,11,6,0
1940,Auburn University,Tigers,13,6,0
1939,Auburn University,Tigers,7,10,0
1938,Auburn University,Tigers,16,6,0
1937,Auburn University,Tigers,14,5,0
1936,Auburn University,Tigers,11,4,0
1935,Auburn University,Tigers,10,5,0
1934,Auburn University,Tigers,4,13,0
1933,Auburn University,Tigers,2,11,0
1932,Auburn University,Tigers,4,9,0
1931,Auburn University,Tigers,12,3,0
1930,Auburn University,Tigers,8,6,0
1929,Auburn University,Tigers,1,10,0
1928,Auburn University,Tigers,6,15,0
1927,Auburn University,Tigers,20,2,0
1926,Auburn University,Tigers,13,6,0
1925,Auburn University,Tigers,5,10,0
1924,Auburn University,Tigers,3,11,0
1923,Auburn University,Tigers,4,9,0
1922,Auburn University,Tigers,7,7,0
1921,Auburn University,Tigers,5,6,0
1920,Auburn University,Tigers,5,8,0
1919,Auburn University,Tigers,11,7,0
1918,Auburn University,Tigers,4,3,0
1917,Auburn University,Tigers,2,3,0
1916,Auburn University,Tigers,2,2,0
1915,Auburn University,Tigers,2,6,0
1914,Auburn University,Tigers,3,5,0
1913,Auburn University,Tigers,3,10,0
1912,Auburn University,Tigers,6,9,0
1911,Auburn University,Tigers,2,6,0
1910,Auburn University,Tigers,3,5,0
1909,Auburn University,Tigers,11,6,0
1908,Auburn University,Tigers,4,3,0
1907,Auburn University,Tigers,5,5,0
1906,Auburn University,Tigers,4,2,0
1905,Auburn University,Tigers,5,1,1
2016,Austin Peay State University,Governors,11,19,0
2015,Austin Peay State University,Governors,18,18,0
2014,Austin Peay State University,Governors,8,22,0
2013,Austin Peay State University,Governors,12,18,0
2012,Austin Peay State University,Governors,8,23,0
2011,Austin Peay State University,Governors,12,20,0
2010,Austin Peay State University,Governors,20,14,0
2009,Austin Peay State University,Governors,17,15,0
2008,Austin Peay State University,Governors,19,14,0
2007,Austin Peay State University,Governors,24,11,0
2006,Austin Peay State University,Governors,21,12,0
2005,Austin Peay State University,Governors,17,14,0
2004,Austin Peay State University,Governors,13,19,0
2003,Austin Peay State University,Governors,22,10,0
2002,Austin Peay State University,Governors,23,8,0
2001,Austin Peay State University,Governors,14,18,0
2000,Austin Peay State University,Governors,22,10,0
1999,Austin Peay State University,Governors,18,10,0
1998,Austin Peay State University,Governors,11,16,0
1997,Austin Peay State University,Governors,17,11,0
1996,Austin Peay State University,Governors,17,14,0
1995,Austin Peay State University,Governors,19,11,0
1994,Austin Peay State University,Governors,13,16,0
1993,Austin Peay State University,Governors,11,16,0
1992,Austin Peay State University,Governors,7,20,0
1991,Austin Peay State University,Governors,11,17,0
1990,Austin Peay State University,Governors,15,14,0
1989,Austin Peay State University,Governors,10,19,0
1988,Austin Peay State University,Governors,18,12,0
1987,Austin Peay State University,Governors,17,13,0
1986,Austin Peay State University,Governors,20,12,0
1985,Austin Peay State University,Governors,14,14,0
1984,Austin Peay State University,Governors,8,19,0
1983,Austin Peay State University,Governors,11,16,0
1982,Austin Peay State University,Governors,11,16,0
1981,Austin Peay State University,Governors,6,20,0
1980,Austin Peay State University,Governors,14,13,0
1979,Austin Peay State University,Governors,8,18,0
1978,Austin Peay State University,Governors,8,18,0
1977,Austin Peay State University,Governors,15,12,0
1976,Austin Peay State University,Governors,24,4,0
1975,Austin Peay State University,Governors,20,7,0
1974,Austin Peay State University,Governors,17,10,0
1973,Austin Peay State University,Governors,17,10,0
1972,Austin Peay State University,Governors,21,5,0
1971,Austin Peay State University,Governors,10,14,0
1970,Austin Peay State University,Governors,10,14,0
1969,Austin Peay State University,Governors,5,21,0
1968,Austin Peay State University,Governors,10,14,0
1967,Austin Peay State University,Governors,8,16,0
1966,Austin Peay State University,Governors,14,9,0
1965,Austin Peay State University,Governors,7,14,0
1964,Austin Peay State University,Governors,4,17,0
1963,Austin Peay State University,Governors,14,9,0
2016,Ball State University,Cardinals,21,13,0
2015,Ball State University,Cardinals,21,14,0
2014,Ball State University,Cardinals,7,23,0
2013,Ball State University,Cardinals,5,25,0
2012,Ball State University,Cardinals,15,15,0
2011,Ball State University,Cardinals,15,15,0
2010,Ball State University,Cardinals,19,13,0
2009,Ball State University,Cardinals,15,15,0
2008,Ball State University,Cardinals,14,17,0
2007,Ball State University,Cardinals,6,24,0
2006,Ball State University,Cardinals,9,22,0
2005,Ball State University,Cardinals,10,18,0
2004,Ball State University,Cardinals,15,13,0
2003,Ball State University,Cardinals,14,15,0
2002,Ball State University,Cardinals,13,17,0
2001,Ball State University,Cardinals,23,12,0
2000,Ball State University,Cardinals,18,12,0
1999,Ball State University,Cardinals,22,9,0
1998,Ball State University,Cardinals,16,11,0
1997,Ball State University,Cardinals,21,8,0
